误差范围：1.6121102571487427
胜 | 实际值：1.0 | 预测值（含误差范围）：1.5867593549191952
负 | 实际值：0.0 | 预测值（含误差范围）：1.6022969922050834
负 | 实际值：-2.0 | 预测值（含误差范围）：1.604450256563723
负 | 实际值：5.0 | 预测值（含误差范围）：1.5933810360729694
负 | 实际值：0.0 | 预测值（含误差范围）：1.6389539297670126
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6306619197130203
负 | 实际值：0.0 | 预测值（含误差范围）：1.6002310439944267
负 | 实际值：0.0 | 预测值（含误差范围）：1.6019617710262537
胜 | 实际值：2.0 | 预测值（含误差范围）：1.604310148395598
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6243147868663073
胜 | 实际值：2.0 | 预测值（含误差范围）：1.613249144749716
负 | 实际值：0.0 | 预测值（含误差范围）：1.6271500950679183
胜 | 实际值：2.0 | 预测值（含误差范围）：1.626943713054061
负 | 实际值：-7.0 | 预测值（含误差范围）：1.635517766699195
负 | 实际值：4.0 | 预测值（含误差范围）：1.570929005742073
负 | 实际值：0.0 | 预测值（含误差范围）：1.6301962528377771
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6240482022985816
负 | 实际值：4.0 | 预测值（含误差范围）：1.6053522732108831
负 | 实际值：-6.0 | 预测值（含误差范围）：1.641524301841855
负 | 实际值：6.0 | 预测值（含误差范围）：1.5830138958990574
负 | 实际值：-3.0 | 预测值（含误差范围）：1.654747135937214
负 | 实际值：0.0 | 预测值（含误差范围）：1.6051554614678025
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6067742947489023
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6272928165271878
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6301052644848824
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6138686803169549
负 | 实际值：-3.0 | 预测值（含误差范围）：1.5932585913687944
负 | 实际值：3.0 | 预测值（含误差范围）：1.5771503895521164
负 | 实际值：0.0 | 预测值（含误差范围）：1.6153040803037584
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6139680854976177
负 | 实际值：3.0 | 预测值（含误差范围）：1.5834754053503275
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6230077082291245
胜 | 实际值：2.0 | 预测值（含误差范围）：1.587121207267046
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6230985783040524
负 | 实际值：3.0 | 预测值（含误差范围）：1.5992413321509957
负 | 实际值：-4.0 | 预测值（含误差范围）：1.628933411091566
胜 | 实际值：1.0 | 预测值（含误差范围）：1.5872272700071335
胜 | 实际值：2.0 | 预测值（含误差范围）：1.604380332864821
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6262148935347795
胜 | 实际值：2.0 | 预测值（含误差范围）：1.5927305649966002
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6211737617850304
负 | 实际值：3.0 | 预测值（含误差范围）：1.6055714916437864
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6323534026741982
胜 | 实际值：1.0 | 预测值（含误差范围）：1.62543326895684
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6285083778202534
负 | 实际值：3.0 | 预测值（含误差范围）：1.5966050811111927
负 | 实际值：-4.0 | 预测值（含误差范围）：1.6293661873787642
负 | 实际值：4.0 | 预测值（含误差范围）：1.5850734524428844
